lead_id,lead_indicator,date_part,source,purchases,time_spent,customer_group,onboarding,customer_code,n_visits,bin_source
0,0.0,2024-01-24,organic,0.5,0.8749423904266727,0.125,True,None,0.38095238095238093,group1
2,1.0,2024-01-27,signup,0.25,0.5091913126978742,0.5,False,STWPXVNOWA,0.7142857142857142,group1
3,1.0,2024-01-28,li,0.375,0.46151370804979264,0.375,True,HZOKZERLZD,0.7142857142857142,socials
4,0.0,2024-01-05,fb,0.5,0.5473581639402387,1.0,False,CVLIHCAPZN,0.047619047619047616,socials
5,0.0,2024-01-09,fb,0.0,0.7337026298013694,0.0,True,UZIKGEBJHZ,0.09523809523809523,socials
6,0.0,2024-01-12,li,0.125,0.28218870418911157,0.125,True,IFNHUGEULO,0.047619047619047616,socials
7,1.0,2024-01-09,li,0.125,0.5903096595752015,0.25,False,KZECUKQTDO,0.7142857142857142,socials
8,1.0,2024-01-18,organic,0.875,0.4731377354062838,0.875,True,DESWCPDDNA,0.5714285714285714,group1
9,1.0,2024-01-23,organic,0.375,0.4473957460871594,0.5,True,ZUOMBTHDOK,0.4761904761904761,group1
10,0.0,2024-01-11,signup,0.875,0.6451881380585225,0.375,True,JWLXPVANUM,0.14285714285714285,group1
12,1.0,2024-01-19,organic,0.375,0.7770699385836592,0.25,False,DCPRVJRRCO,0.6190476190476191,group1
13,0.0,2024-01-22,signup,0.625,0.1643534928440462,0.625,True,WNKCTHUHYI,0.19047619047619047,group1
15,0.0,2024-01-10,organic,0.875,0.520898844551501,0.25,True,YGTBRBGUBZ,0.2857142857142857,group1
16,0.0,2024-01-02,fb,0.375,0.36368031639801757,0.5,True,TFWWHDORPL,0.14285714285714285,socials
17,1.0,2024-01-07,signup,0.5,0.6715859326255682,0.875,False,INIQMTGGOO,0.3333333333333333,group1
18,0.0,2024-01-31,li,0.25,0.18870661709193604,1.0,False,OEQZTOIAYB,0.09523809523809523,socials
19,0.0,2024-01-20,signup,0.25,0.3636582070498484,1.0,True,SJGDAANOYJ,0.9047619047619047,group1
20,1.0,2024-01-02,li,0.625,0.0033505833930171924,0.0,True,BNZFSZGFAG,0.7142857142857142,socials
21,0.0,2024-01-19,li,0.25,0.32356468193533816,0.75,True,USWVYZUYXP,0.14285714285714285,socials
22,0.0,2024-01-06,signup,0.5,0.07742359358859519,0.25,True,SPWNMQUWDX,0.047619047619047616,group1
23,0.0,2024-01-10,li,0.625,0.20079588327974962,0.125,True,MLJSQLJSKJ,0.38095238095238093,socials
24,0.0,2024-01-09,fb,0.625,0.3255194090522382,0.5,False,QXZOZPIDPQ,0.09523809523809523,socials
25,1.0,2024-01-08,organic,0.5,0.2712054367679042,0.625,False,ULUTUIKRRI,0.23809523809523808,group1
26,0.0,2024-01-26,organic,0.25,0.39803068295616306,0.375,True,NWZESUDMLK,0.09523809523809523,group1
27,1.0,2024-01-30,signup,0.125,0.7981486673790785,0.0,True,IAPSPPLUZL,0.6666666666666665,group1
29,0.0,2024-01-09,signup,0.625,0.8646387740418398,0.25,False,DNGAQVVEDN,0.0,group1
30,1.0,2024-01-20,signup,0.5,0.9834046736314854,0.375,False,WSQVNMPZOH,0.23809523809523808,group1
31,0.0,2024-01-28,fb,0.125,0.7641686049791119,0.0,True,FXVKWIERCX,0.2857142857142857,socials
32,0.0,2024-01-20,signup,0.375,0.16410309395190303,1.0,False,GKIHITQJGU,0.2857142857142857,group1
33,1.0,2024-01-31,signup,0.5,0.9134465250665555,0.375,True,QOVDCTYYGT,0.5238095238095237,group1
35,1.0,2024-01-08,fb,0.5,0.6236954622132203,0.0,True,UUQVNHSVAC,0.19047619047619047,socials
36,0.0,2024-01-28,signup,0.25,0.4283458375183229,0.625,True,KYUCVVIKET,0.14285714285714285,group1
37,0.0,2024-01-15,fb,0.5,0.08671969822303094,0.375,True,BYIAYBBUQY,0.42857142857142855,socials
38,1.0,2024-01-02,signup,0.5,0.9884708484779843,0.125,True,HFELNNHTEW,0.38095238095238093,group1
39,0.0,2024-01-24,fb,0.5,0.3247296476298587,0.625,True,OKRIVUYHYW,0.09523809523809523,socials
40,0.0,2024-01-01,signup,0.5,0.4150492748795265,0.25,False,HOVYUZIDIO,0.14285714285714285,group1
41,0.0,2024-01-09,signup,0.375,0.36111228847841303,0.625,False,BBRMJIJJBF,0.047619047619047616,group1
44,0.0,2024-01-31,signup,0.875,0.09713438484952697,0.875,True,XNVURJEHVZ,0.047619047619047616,group1
45,1.0,2024-01-08,fb,0.75,0.49182174216874097,0.25,False,UMGVSUPDUV,0.9523809523809523,socials
47,1.0,2024-01-21,li,0.25,0.5312911049360567,0.625,True,EFENWKONOD,0.7619047619047619,socials
49,0.0,2024-01-29,signup,0.875,0.4575565298304909,0.0,False,CPADDAXJVL,0.42857142857142855,group1
51,1.0,2024-01-21,organic,1.0,0.30982298834009114,0.625,True,ZPCHMCBNUD,0.6666666666666665,group1
52,1.0,2024-01-04,fb,0.25,0.2516754265579082,0.375,True,VKRLVPEGIA,0.6666666666666665,socials
53,1.0,2024-01-17,organic,0.75,0.5400184892787663,0.5,False,MNIQRSJWSY,0.5714285714285714,group1
54,1.0,2024-01-16,li,0.5,0.36632279582496263,0.5,True,TBTCCIKIZT,0.3333333333333333,socials
55,1.0,2024-01-16,signup,1.0,0.3862892275702552,1.0,False,ZQFIPOQZHG,0.23809523809523808,group1
56,0.0,2024-01-25,fb,0.125,0.7339508846922795,0.0,True,RHDXWWJWIV,0.14285714285714285,socials
57,0.0,2024-01-31,signup,0.625,0.2550267681954068,1.0,False,JFLRBCHQYR,0.09523809523809523,group1
59,0.0,2024-01-30,li,0.25,0.6025205477754438,0.25,True,DAJJXDCWKW,0.09523809523809523,socials
60,0.0,2024-01-20,li,0.375,0.34304236482270944,0.625,False,TYLXIXMEPW,0.5238095238095237,socials
61,0.0,2024-01-03,signup,0.625,0.5918645082662053,0.625,True,BTDCFQUACC,0.6190476190476191,group1
62,1.0,2024-01-06,fb,0.375,0.800188069261254,0.0,True,XHOOIFJXSA,0.7142857142857142,socials
63,0.0,2024-01-01,li,0.5,0.38802716739707055,0.125,True,DVVIZQSFSE,0.0,socials
65,1.0,2024-01-16,li,0.375,0.24215871627669294,0.375,False,KYUKNLMALV,0.5238095238095237,socials
66,0.0,2024-01-15,organic,0.125,0.5841323861401184,0.875,False,KGVUNQBGLO,0.19047619047619047,group1
67,1.0,2024-01-07,li,0.875,0.5777106263647762,0.5,False,KTRTWVKAYB,0.6190476190476191,socials
68,0.0,2024-01-02,signup,0.625,0.35335129625897954,1.0,False,HTUIUEAPSS,0.19047619047619047,group1
70,1.0,2024-01-25,organic,0.375,0.4972937215412916,0.625,True,EEKRZPRKPD,0.4761904761904761,group1
71,0.0,2024-01-28,li,0.5,0.5409806829311754,1.0,False,NBTIPGWQLS,0.0,socials
72,0.0,2024-01-15,signup,0.375,0.7116395095180312,0.5,True,KQAKBGLQBJ,0.047619047619047616,group1
73,1.0,2024-01-06,organic,0.5,0.5318147370625774,0.25,False,YYMJLMAOTX,0.38095238095238093,group1
74,1.0,2024-01-02,organic,0.25,0.4269611138940719,1.0,True,IACDWLKYBQ,0.6666666666666665,group1
75,1.0,2024-01-24,fb,0.5,0.2954296045990059,1.0,True,NHRGOADYDN,0.9523809523809523,socials
76,1.0,2024-01-24,li,0.125,0.9233156026177864,0.75,False,ITTRBUNGCH,0.7142857142857142,socials
78,0.0,2024-01-28,fb,0.25,0.5418696543303079,0.25,False,QMLEAOLDXE,0.5238095238095237,socials
79,0.0,2024-01-01,organic,0.625,0.461283890469701,0.0,False,QCQJKNKFEL,0.0,group1
80,1.0,2024-01-01,li,0.25,0.838622321532883,0.0,True,RYVYNXJKLJ,0.38095238095238093,socials
81,1.0,2024-01-28,organic,0.625,0.09444958887555144,0.625,False,XHUNFQGQEB,0.9047619047619047,group1
82,0.0,2024-01-04,fb,0.0,0.7753463844865403,0.5,False,CYOILUYCQH,0.8095238095238095,socials
83,0.0,2024-01-20,organic,0.25,0.8013344239349829,0.875,False,SPGBWXXXEV,0.047619047619047616,group1
84,0.0,2024-01-16,organic,0.5,0.6515090371050487,0.125,False,AWBDXYFATM,0.0,group1
85,0.0,2024-01-08,organic,0.625,0.16421482334738213,0.625,True,EIYQJROSLV,0.0,group1
86,1.0,2024-01-01,fb,0.875,0.9241135667593965,0.125,False,AVERVLSIIY,0.6666666666666665,socials
87,1.0,2024-01-26,signup,0.25,0.7892868174063516,0.75,False,XJMJZQDDJC,0.42857142857142855,group1
88,1.0,2024-01-19,signup,0.5,0.3010075398616672,0.5,False,ILBYCVCCZP,0.19047619047619047,group1
89,0.0,2024-01-11,fb,1.0,0.9757088558007876,0.75,True,KGAUDWZKEW,0.09523809523809523,socials
90,0.0,2024-01-17,li,0.5,0.3538692204168825,0.5,True,AYOALEMSTO,0.0,socials
91,1.0,2024-01-25,organic,0.5,0.29328678965348676,0.25,False,GWFWSQUJNI,0.6190476190476191,group1
92,1.0,2024-01-10,fb,0.375,0.8257516125086508,0.875,False,LYLYFYYSGM,0.6190476190476191,socials
93,1.0,2024-01-12,signup,0.75,0.8891132694749673,0.25,True,BNJNDMKIOK,0.3333333333333333,group1
94,1.0,2024-01-09,fb,0.5,0.3918492553000381,0.875,False,VIVFPTQTUZ,0.7619047619047619,socials
95,0.0,2024-01-07,signup,0.5,0.512401949495906,0.0,False,JBJDCNSVYQ,0.19047619047619047,group1
96,1.0,2024-01-29,li,0.125,0.43402927933538615,1.0,False,SKEVJIONMJ,0.2857142857142857,socials
97,0.0,2024-01-12,signup,0.125,0.5683667111169015,0.25,False,EVTQSTMJAY,0.4761904761904761,group1
98,0.0,2024-01-15,li,0.5,0.054882428514534176,0.75,False,SYPZXRLSZK,0.09523809523809523,socials
99,0.0,2024-01-08,li,0.375,0.2964437365682304,0.625,True,CSXBASZMIE,0.047619047619047616,socials
100,0.0,2024-01-17,li,0.75,0.5898431792124774,0.625,True,CFTKLSVBDQ,0.0,socials
101,1.0,2024-01-05,fb,0.375,0.674728207448128,0.625,True,NPPVPKUEPI,0.8095238095238095,socials
102,0.0,2024-01-31,fb,0.625,0.2484683534121972,0.5,False,DPBWSKSDFR,0.047619047619047616,socials
103,1.0,2024-01-14,li,0.25,0.7396860314534606,0.75,True,KFTLZBVGMB,0.2857142857142857,socials
104,1.0,2024-01-02,signup,0.375,0.07481668106777262,0.0,True,IROQPSWYUC,0.6666666666666665,group1
105,0.0,2024-01-16,organic,1.0,0.38852452212984856,0.5,False,NOVDBSGTUV,0.42857142857142855,group1
106,0.0,2024-01-29,organic,0.125,0.07774551207996883,0.5,True,TJIBQAICLA,0.14285714285714285,group1
108,0.0,2024-01-03,organic,1.0,0.6148360254636187,0.625,True,HAGGBWETXA,0.23809523809523808,group1
109,0.0,2024-01-23,signup,0.25,0.3601617289513004,0.125,True,TUKZRKNGZC,0.0,group1
110,0.0,2024-01-01,signup,0.625,0.6993985117810579,0.375,True,NWTUJSIWDD,0.14285714285714285,group1
111,0.0,2024-01-27,li,0.375,0.7390652428057685,0.5,False,QCVGFOTHCH,0.14285714285714285,socials
112,1.0,2024-01-18,signup,0.25,0.653305110629864,0.375,True,BPQXMGSSGK,0.2857142857142857,group1
113,1.0,2024-01-18,fb,0.25,0.5269088466008629,0.375,True,PGHFLBNSAR,0.857142857142857,socials
114,1.0,2024-01-04,fb,0.625,0.5108027071979886,0.375,False,OMDKEAHODZ,0.6666666666666665,socials
115,1.0,2024-01-15,fb,0.75,0.8064716045996754,0.25,True,SEKGRYIOYN,0.23809523809523808,socials
117,0.0,2024-01-19,fb,0.75,0.12311764519162072,0.375,False,RFEIPROXGO,0.09523809523809523,socials
118,1.0,2024-01-19,li,0.375,0.5479268065647744,0.5,True,IMQUICWUXT,0.8095238095238095,socials
119,1.0,2024-01-10,li,0.375,0.32069789102778,0.25,False,OOWFTNZNZU,0.5238095238095237,socials
120,1.0,2024-01-05,organic,0.375,0.6117800381767826,1.0,False,DWBTSKPSSO,0.42857142857142855,group1
121,1.0,2024-01-19,organic,0.375,0.3112148819666203,0.125,True,XVPEMSEHTL,0.5714285714285714,group1
122,0.0,2024-01-11,li,0.75,0.7217663194667332,0.0,False,FGLDRIAFOS,0.42857142857142855,socials
123,0.0,2024-01-07,fb,0.125,0.18501496797444528,0.375,False,VYCFTNIJZT,0.14285714285714285,socials
124,0.0,2024-01-05,li,0.5,0.5363735673106271,0.125,True,SEJLGSITGJ,0.5238095238095237,socials
125,0.0,2024-01-20,fb,0.625,0.1342475540474628,0.125,False,TOXOBGGLMW,0.0,socials
126,1.0,2024-01-12,signup,0.375,0.3293841244910891,0.25,True,NBUXBYCSKE,0.857142857142857,group1
127,1.0,2024-01-19,fb,0.375,0.22728873591980214,0.875,True,AFQRSECYXF,0.3333333333333333,socials
128,0.0,2024-01-15,fb,0.375,0.18228839275606834,0.875,False,WWWXQNNRUH,0.23809523809523808,socials
129,1.0,2024-01-12,fb,0.25,0.32778778126954355,1.0,False,PNMGLRGQUP,0.42857142857142855,socials
130,0.0,2024-01-04,signup,0.5,0.7793073953635181,0.5,True,FBOBLIOYHV,0.19047619047619047,group1
131,0.0,2024-01-30,li,0.375,0.243902637850947,1.0,False,KHUIHFTXQI,0.19047619047619047,socials
132,0.0,2024-01-31,organic,0.125,0.6138391418904376,0.5,True,LUDJWUEEBT,0.19047619047619047,group1
133,0.0,2024-01-12,signup,0.75,0.32375954942488283,0.5,True,TLHITDPRSA,0.23809523809523808,group1
135,0.0,2024-01-17,fb,0.5,0.36744724859365974,0.875,True,XGTQMUBQCU,0.9999999999999998,socials
136,1.0,2024-01-19,organic,0.5,0.3742496509951847,0.375,True,IKYCJQUDSZ,0.38095238095238093,group1
137,1.0,2024-01-16,fb,0.375,0.41363985985952123,0.75,True,CUDZZVPUKG,0.5714285714285714,socials
138,0.0,2024-01-11,li,0.25,0.5834509038482296,0.0,False,OKFTBSEGEZ,0.19047619047619047,socials
141,0.0,2024-01-01,signup,0.625,0.046575534488544346,0.75,False,JMFONJZUPE,0.3333333333333333,group1
142,0.0,2024-01-17,signup,0.375,0.7813087336183382,1.0,False,KNDCQISUNM,0.3333333333333333,group1
143,0.0,2024-01-18,li,0.375,0.6201344478921755,0.0,True,IUHLTMLRTE,0.0,socials
144,0.0,2024-01-29,li,0.125,0.3590072850128343,0.75,True,KYEHZABBYW,0.19047619047619047,socials
145,0.0,2024-01-29,fb,0.375,0.699476583215596,0.125,True,WHCPLPNPOD,0.6666666666666665,socials
146,1.0,2024-01-25,signup,0.875,0.518266394063529,1.0,False,UKEAVDRBIM,0.9523809523809523,group1
147,1.0,2024-01-29,fb,0.0,0.6897115705391306,0.5,False,UCEQTMPIQZ,0.23809523809523808,socials
148,0.0,2024-01-13,signup,0.25,0.7759626341075405,0.125,True,VIQNDTATLY,0.23809523809523808,group1
149,0.0,2024-01-05,li,0.5,0.2874953533252649,0.125,True,LWJFTIMJZA,0.047619047619047616,socials
150,1.0,2024-01-25,organic,0.375,0.8038163843054291,0.125,True,TGQYCDWUAR,0.857142857142857,group1
151,0.0,2024-01-24,organic,0.625,0.37623500716658986,0.125,False,JACCILVPHP,0.0,group1
152,0.0,2024-01-29,signup,0.75,0.5363817378241391,0.125,False,PKMEXRHJWN,0.047619047619047616,group1
153,0.0,2024-01-27,li,0.625,0.6563864592862281,0.625,True,PSGFTHSGBE,0.2857142857142857,socials
155,0.0,2024-01-01,organic,0.75,0.5147107928753933,0.375,False,YWNMPFPIHR,0.4761904761904761,group1
156,1.0,2024-01-10,organic,0.25,0.04500364669721302,0.125,False,CJBRMLEKNK,0.9999999999999998,group1
157,1.0,2024-01-05,li,0.5,0.9130116005495665,0.75,True,ODWZXCCSEX,0.6666666666666665,socials
158,0.0,2024-01-28,organic,0.25,0.5411332913522022,0.875,True,UUIOZILWBK,0.14285714285714285,group1
162,1.0,2024-01-30,li,0.375,0.5085018388871565,0.625,True,ONRGXAPTXG,0.14285714285714285,socials
163,1.0,2024-01-11,fb,0.375,0.5772279713744104,0.375,False,EDDEFBGFMJ,0.42857142857142855,socials
164,0.0,2024-01-24,organic,0.5,0.31681841224073404,0.125,True,IAHEAGIIXY,0.09523809523809523,group1
166,0.0,2024-01-07,li,0.25,0.22302568756495944,0.125,True,JEJEULULSA,0.7619047619047619,socials
167,0.0,2024-01-18,signup,0.625,0.34991779242514154,0.0,False,MNCSDIPRDF,0.14285714285714285,group1
168,0.0,2024-01-21,fb,0.5,0.5539900741819248,0.375,True,ZZTWLIPLAJ,0.0,socials
169,1.0,2024-01-20,signup,0.375,0.5043802707989906,0.625,False,CNNNKVXVBZ,0.6190476190476191,group1
170,1.0,2024-01-21,li,0.25,0.3172959299758218,0.25,False,VMALORHFFD,0.6666666666666665,socials
171,0.0,2024-01-10,fb,0.625,0.5746920858522566,0.875,True,IENMMKVYQM,0.047619047619047616,socials
172,1.0,2024-01-25,li,0.25,0.12860355746364371,0.25,True,HLXXORNUVI,0.3333333333333333,socials
173,0.0,2024-01-15,fb,0.0,0.4078123383970462,0.125,True,POEVZJHWYX,0.09523809523809523,socials
174,1.0,2024-01-04,li,0.375,0.6217385692627393,0.25,False,OBJNQZWLUO,0.2857142857142857,socials
175,0.0,2024-01-16,li,0.625,0.7243396216188693,0.0,True,RHKILMYMZV,0.19047619047619047,socials
176,1.0,2024-01-15,organic,0.375,0.5945431607435263,0.375,False,SFHOWCCVWR,0.42857142857142855,group1
177,0.0,2024-01-15,organic,0.375,0.3528517706293104,0.375,True,INBWGYPGOI,0.047619047619047616,group1
179,0.0,2024-01-08,fb,0.5,0.9772873152426338,0.0,False,ESHLKMPMQK,0.047619047619047616,socials
180,0.0,2024-01-08,fb,0.125,0.5516204036354195,0.75,False,DLCQTBJBOO,0.09523809523809523,socials
181,0.0,2024-01-18,fb,0.375,0.46715376361235883,0.25,False,ZGQVGEPQKP,0.14285714285714285,socials
183,1.0,2024-01-06,signup,0.625,0.953725449169124,0.5,True,LUBQTNWDCM,0.5238095238095237,group1
184,0.0,2024-01-05,fb,1.0,0.6385500025472308,0.625,True,UIKUWQABOU,0.4761904761904761,socials
187,1.0,2024-01-26,li,0.625,0.6513523586147363,0.75,True,AWGBCINBCD,0.6666666666666665,socials
189,0.0,2024-01-23,signup,0.625,0.5856243295180561,0.5,True,VOOTYELWHE,0.19047619047619047,group1
190,0.0,2024-01-13,signup,0.25,0.35847044568947783,0.5,False,CXUUCQWNNU,0.0,group1
191,1.0,2024-01-17,signup,0.75,0.6677894492373024,0.125,False,CTTBPSFQGY,0.8095238095238095,group1
193,1.0,2024-01-16,li,0.375,0.916791360482125,0.375,False,NMSVENJBOF,0.42857142857142855,socials
194,0.0,2024-01-09,signup,0.625,0.33592099751898497,0.375,False,OWBEEKDLKJ,0.38095238095238093,group1
196,1.0,2024-01-28,fb,0.625,0.41119889836842294,1.0,True,MSYGSGXPEK,0.2857142857142857,socials
